text,label,named_entities
Concerned Citizens Party,PARTY,"[('Concerned Citizens Party', 'ORG')]"
"Bell, Dale",PERSON,"[('Bell', 'ORG'), ('Dale', 'PERSON')]"
"Smykowski, George James",PERSON,"[('Smykowski', 'ORG'), ('George James', 'PERSON')]"
"Carraro, Joseph (Joe)",PERSON,"[('Carraro', 'ORG'), ('Joseph (Joe', 'PERSON')]"
"Kopetski, Michael Joseph (Mike)",PERSON,"[('Kopetski', 'PERSON'), ('Michael Joseph', 'PERSON'), ('Mike', 'PERSON')]"
"Schauer, Mark",PERSON,"[('Mark', 'PERSON')]"
"Patterson, Elizabeth Johnston  (Liz)",PERSON,"[('Patterson', 'PERSON'), ('Elizabeth Johnston', 'PERSON'), ('Liz', 'PERSON')]"
"Fuller Clark, Martha",PERSON,"[('Fuller Clark', 'PERSON'), ('Martha', 'PERSON')]"
"Nolan, Rick",PERSON,"[('Nolan', 'ORG'), ('Rick', 'PERSON')]"
"Durkin, John Anthony",PERSON,"[('John Anthony', 'PERSON')]"
"Shepard, Taze",PERSON,[]
"Scofield, Sandra K.",PERSON,"[('Scofield', 'GPE'), ('Sandra K.', 'PERSON')]"
"Faught, George",PERSON,"[('George', 'PERSON')]"
Republican Party of Minnesota,ORG,"[('Republican Party of Minnesota', 'ORG')]"
Democratic Party of Wisconsin,ORG,"[('Democratic Party of Wisconsin', 'ORG')]"
"Capps, Walter H.",PERSON,"[('Capps', 'PERSON'), ('Walter H.', 'PERSON')]"
"Forrester, Douglas (Doug)",PERSON,"[('Forrester', 'ORG'), ('Douglas', 'PERSON')]"
South Dakota Republican State Committee,ORG,"[('South Dakota', 'GPE'), ('State Committee', 'ORG')]"
"Jones, Charles P. (Charlie)",PERSON,"[('Charles P.', 'PERSON'), ('Charlie', 'PERSON')]"
"Duke, David",PERSON,"[('Duke', 'ORG'), ('David', 'PERSON')]"
"Ross, Alan",PERSON,"[('Ross', 'PERSON'), ('Alan', 'PERSON')]"
"MacMillan, Colin",PERSON,"[('MacMillan', 'ORG'), ('Colin', 'PERSON')]"
"Darias, Alicia",PERSON,"[('Alicia', 'PERSON')]"
"Winters, Brent",PERSON,"[('Winters', 'ORG'), ('Brent', 'PERSON')]"
"Hoff, Philip Henderson",PERSON,"[('Philip Henderson', 'PERSON')]"
Grassroots Party,PARTY,"[('Grassroots Party', 'ORG')]"
"Maag, Gordon",PERSON,"[('Gordon', 'PERSON')]"
"Maye, Vivian",PERSON,"[('Maye', 'PERSON'), ('Vivian', 'NORP')]"
Mississippi,GPE,"[('Mississippi', 'GPE')]"
"Phillips, Vel R.",PERSON,"[('Phillips', 'ORG'), ('Vel R.', 'PERSON')]"
"McColl, Bill",PERSON,"[('McColl', 'ORG'), ('Bill', 'PERSON')]"
"Sharpe, Mark",PERSON,"[('Sharpe', 'PERSON'), ('Mark', 'PERSON')]"
"Salier, Bill",PERSON,"[('Bill', 'PERSON')]"
"Johnson, Timothy Peter (Tim)",PERSON,"[('Johnson', 'PERSON'), ('Timothy Peter', 'PERSON'), ('Tim', 'PERSON')]"
"Travers, F. Warren",PERSON,"[('F. Warren', 'PERSON')]"
"Keating, Francis Anthony (Frank)",PERSON,"[('Keating', 'GPE'), ('Francis Anthony', 'PERSON'), ('Frank', 'PERSON')]"
"Mike, Pence",PERSON,"[('Mike', 'PERSON'), ('Pence', 'PERSON')]"
"Nelson, Chris",PERSON,"[('Nelson', 'PERSON'), ('Chris', 'PERSON')]"
"Holshof, Kenny",PERSON,"[('Holshof', 'PERSON'), ('Kenny', 'GPE')]"
Herb Kohl for U.S. Senate Campaign,ORG,"[('Herb Kohl', 'PERSON'), ('U.S. Senate Campaign', 'ORG')]"
"Danforth, John Claggett",PERSON,"[('Danforth', 'PERSON'), ('John Claggett', 'PERSON')]"
"Dalton, Walter",PERSON,"[('Dalton', 'PERSON'), ('Walter', 'PERSON')]"
"Gray, Kenneth J.",PERSON,"[('Kenneth J.', 'PERSON')]"
"Schinella, Anthony",PERSON,"[('Anthony', 'PERSON')]"
"Smith, Harri Anne",PERSON,"[('Smith', 'GPE'), ('Harri Anne', 'PERSON')]"
"Tedisco, Jim",PERSON,"[('Tedisco', 'ORG'), ('Jim', 'PERSON')]"
"Chroman, Larry",PERSON,"[('Chroman', 'PERSON'), ('Larry', 'PERSON')]"
"Cunningham, Randy Duke",PERSON,"[('Cunningham', 'ORG'), ('Randy Duke', 'PERSON')]"
"Fisher, Greg",PERSON,[]
"Simpson, Mike",PERSON,"[('Simpson', 'PERSON'), ('Mike', 'PERSON')]"
Oregon Democrats,ORG,"[('Oregon', 'GPE'), ('Democrats', 'NORP')]"
"Van Natta, Ralph W.",PERSON,"[('Van Natta', 'PERSON'), ('Ralph W.', 'PERSON')]"
"Yarbrough, William Mayo (Bill)",PERSON,"[('Yarbrough', 'GPE'), ('William Mayo', 'PERSON'), ('Bill', 'PERSON')]"
"Yarmuth, John",PERSON,"[('John', 'PERSON')]"
"Hatfield, Mark Odom",PERSON,"[('Hatfield', 'PERSON'), ('Mark Odom', 'PERSON')]"
"Washington, Robert E. (Bob)",PERSON,"[('Washington', 'GPE'), ('Robert E. (', 'PERSON'), ('Bob', 'PERSON')]"
"Ruppersberger, Charles Albert (Dutch)",PERSON,"[('Charles Albert', 'PERSON'), ('Dutch', 'NORP')]"
"Templeman, Mike",PERSON,"[('Templeman', 'GPE'), ('Mike', 'PERSON')]"
"Shallcross, Deborah",PERSON,"[('Deborah', 'PERSON')]"
"Young, Cliff",PERSON,[]
"Oxner, Mark",PERSON,"[('Mark', 'PERSON')]"
"Hughes, Judy",PERSON,"[('Hughes', 'ORG'), ('Judy', 'PERSON')]"
Democratic National Committee,ORG,"[('Democratic National Committee', 'ORG')]"
"Corzine, Jon Stevens",PERSON,"[('Jon Stevens', 'PERSON')]"
Fund for a Conservative Majority,ORG,[]
Florida,GPE,"[('Florida', 'GPE')]"
"Johnson, Sam",PERSON,"[('Johnson', 'PERSON'), ('Sam', 'PERSON')]"
"McCline, Jameel",PERSON,"[('McCline', 'ORG'), ('Jameel', 'PERSON')]"
"Schaus, Nick",PERSON,"[('Schaus', 'GPE'), ('Nick', 'PERSON')]"
"Colvin, Milton",PERSON,"[('Colvin', 'PERSON'), ('Milton', 'PERSON')]"
"Doctor, Jeff",PERSON,"[('Jeff', 'PERSON')]"
"Dombkowski, Adam",PERSON,"[('Adam', 'PERSON')]"
"Weldon, Wayne Curtis (Curt)",PERSON,"[('Weldon', 'GPE'), ('Wayne Curtis', 'PERSON')]"
"Moak, Steve",PERSON,"[('Steve', 'PERSON')]"
"Broyhill, Ed",PERSON,"[('Ed', 'PERSON')]"
"Stedem, Mike",PERSON,"[('Mike', 'PERSON')]"
"Ziegler, Eugene N.",PERSON,"[('Ziegler', 'PERSON'), ('Eugene N.', 'PERSON')]"
North Dakota,GPE,"[('North Dakota', 'LOC')]"
"Jones, Walter Beaman, Jr. ",PERSON,"[('Walter Beaman', 'PERSON')]"
"Carson, Brad",PERSON,"[('Carson', 'PERSON'), ('Brad', 'PERSON')]"
"Morrison, Sidney Wallace (Sid)",PERSON,"[('Morrison', 'PERSON'), ('Sidney Wallace', 'PERSON'), ('Sid', 'PERSON')]"
"Schrader, Kurt",PERSON,"[('Kurt', 'PERSON')]"
"Gilbreath, Wes",PERSON,"[('Wes', 'PERSON')]"
"Battin, James (James Franklin)",PERSON,"[('Battin', 'GPE'), ('James', 'PERSON'), ('James Franklin', 'PERSON')]"
"Eckhart, Don Elijah",PERSON,"[('Eckhart', 'ORG'), ('Don Elijah', 'PERSON')]"
"Isakson, John Hardy (Johnny)",PERSON,"[('Isakson', 'ORG'), ('John Hardy', 'PERSON'), ('Johnny', 'PERSON')]"
"Rammell, Rex",PERSON,"[('Rammell', 'ORG'), ('Rex', 'PERSON')]"
"Rigell, Scott",PERSON,"[('Rigell', 'ORG'), ('Scott', 'PERSON')]"
"Comstock Riley, Dorothy",PERSON,"[('Comstock Riley', 'PERSON'), ('Dorothy', 'PERSON')]"
"Boyda, Nancy",PERSON,"[('Nancy', 'PERSON')]"
"Hertel, Dennis M.",PERSON,"[('Dennis M.', 'PERSON')]"
"Huff, Richard H.",PERSON,"[('Richard H.', 'PERSON')]"
"Latham, Thomas Paul (Tom)",PERSON,"[('Latham', 'GPE'), ('Thomas Paul', 'PERSON'), ('Tom', 'PERSON')]"
Mark McKinnon,ORG,"[('Mark McKinnon', 'PERSON')]"
"Moran, Jerry",PERSON,"[('Moran', 'PERSON'), ('Jerry', 'PERSON')]"
"Florio, James J. (Jim)",PERSON,"[('Florio', 'PERSON'), ('James J. (', 'PERSON'), ('Jim', 'PERSON')]"
"Long, Matt",PERSON,"[('Matt', 'PERSON')]"
"Dumas, Gerard F.",PERSON,"[('Dumas', 'PERSON'), ('Gerard F.', 'PERSON')]"
"McGowan, Patrick K. (Pat)",PERSON,"[('McGowan', 'GPE'), ('Patrick K. (', 'PERSON'), ('Pat', 'PERSON')]"
"Cooper, James Ralph (Jim)",PERSON,"[('Cooper', 'PERSON'), ('James Ralph', 'PERSON'), ('Jim', 'PERSON')]"
"Green, John",PERSON,"[('John', 'PERSON')]"
"Bade, Jack",PERSON,"[('Jack', 'PERSON')]"
"Bera, Ami",PERSON,"[('Ami', 'PERSON')]"
"Noriega, Richard Joel (Rick)",PERSON,"[('Noriega', 'PERSON'), ('Richard Joel', 'PERSON'), ('Rick', 'PERSON')]"
"Smyser, Skip",PERSON,[]
The Coalition: Americans Working for Real Change,ORG,[]
"Heidepriem, Scott Nelson",PERSON,"[('Scott Nelson', 'PERSON')]"
"Issa, Darrell E.",PERSON,[]
"Dewhurst, David",PERSON,"[('Dewhurst', 'NORP'), ('David', 'PERSON')]"
"Haas, Rene",PERSON,"[('Rene', 'PERSON')]"
"Thune, John Randolph",PERSON,"[('John Randolph', 'PERSON')]"
"Marshall, Elaine",PERSON,"[('Marshall', 'PERSON'), ('Elaine', 'PERSON')]"
"Rehberg, Dennis Ray (Denny)",PERSON,"[('Rehberg', 'PERSON'), ('Dennis Ray', 'PERSON'), ('Denny', 'GPE')]"
"Bono, Mary",PERSON,"[('Mary', 'PERSON')]"
"Tabor, Eric",PERSON,"[('Eric', 'PERSON')]"
"Dutton, Delvis William",PERSON,"[('Dutton', 'PERSON'), ('Delvis William', 'PERSON')]"
United States Chamber Of Commerce,ORG,"[('United States Chamber Of Commerce', 'ORG')]"
"Snowe, Olympia Jean Bouchles",PERSON,"[('Snowe', 'ORG'), ('Olympia Jean Bouchles', 'PERSON')]"
"Hartke, Rupert Vance",PERSON,"[('Rupert Vance', 'PERSON')]"
John Stone for Congress,ORG,"[('John Stone', 'PERSON'), ('Congress', 'ORG')]"
"Carney, Patrick J.",PERSON,"[('Patrick J.', 'PERSON')]"
"Garza, Tony",PERSON,"[('Garza', 'PERSON'), ('Tony', 'PERSON')]"
"Kellem, Kevin",PERSON,"[('Kellem', 'GPE'), ('Kevin', 'PERSON')]"
"Babbitt, Wayne Hubert",PERSON,"[('Babbitt', 'ORG'), ('Wayne Hubert', 'PERSON')]"
"Willner, Don S.",PERSON,"[('Willner', 'PERSON'), ('Don S.', 'PERSON')]"
Crossroads Grassroots Policy Strategies,ORG,[]
"Delay, Tom",PERSON,"[('Delay', 'PERSON'), ('Tom', 'PERSON')]"
Tennessee Republican Party,ORG,"[('Tennessee', 'GPE'), ('Republican Party', 'ORG')]"
"Golub, Shirley",PERSON,"[('Shirley', 'PERSON')]"
"Diamond, William G.",PERSON,"[('Diamond', 'GPE'), ('William G.', 'PERSON')]"
"Smith, Sheila",PERSON,"[('Smith', 'GPE'), ('Sheila', 'PERSON')]"
"Eskind, Jane Greenebaum",PERSON,"[('Jane Greenebaum', 'PERSON')]"
"Hurlbert, Clyde",PERSON,"[('Hurlbert', 'PERSON'), ('Clyde', 'GPE')]"
"Hair, Mattax",PERSON,"[('Mattax', 'ORG')]"
"Hahn, Janice",PERSON,"[('Janice', 'ORG')]"
National Association of Realtors PAC,ORG,"[('National Association of Realtors', 'ORG')]"
"Norton, Gale Ann",PERSON,"[('Norton', 'ORG'), ('Gale Ann', 'PERSON')]"
"Crooks, Patrick",PERSON,"[('Patrick', 'PERSON')]"
"Harrison, Ed",PERSON,"[('Ed', 'PERSON')]"
"Dahl, Demar",PERSON,"[('Demar', 'PERSON')]"
"Nagle, David Ray (Dave)",PERSON,"[('Nagle', 'ORG'), ('David Ray', 'PERSON'), ('Dave', 'PERSON')]"
"Salomon, Jim",PERSON,"[('Salomon', 'ORG'), ('Jim', 'PERSON')]"
"Delaney, John",PERSON,"[('Delaney', 'LAW'), ('John', 'PERSON')]"
"Pidcock, Robert",PERSON,"[('Pidcock', 'PERSON'), ('Robert', 'PERSON')]"
"Hogan, Lawrence Joseph (Larry)",PERSON,"[('Lawrence Joseph', 'PERSON'), ('Larry', 'PERSON')]"
"Percy, Charles Harting",PERSON,"[('Percy', 'PERSON'), ('Charles Harting', 'PERSON')]"
"Brickley, David Guy",PERSON,"[('Brickley', 'ORG'), ('David Guy', 'PERSON')]"
"Hogan, Lawrence Joseph (Larry)",PERSON,"[('Lawrence Joseph', 'PERSON'), ('Larry', 'PERSON')]"
"Temperley, Matt",PERSON,"[('Temperley', 'ORG'), ('Matt', 'PERSON')]"
"Pickett, Elizabeth",PERSON,"[('Elizabeth', 'PERSON')]"
"Edmondson, James Howard (J. Howard)",PERSON,"[('Edmondson', 'ORG'), ('James Howard', 'PERSON'), ('J. Howard', 'PERSON')]"
"Margett, Bob",PERSON,"[('Margett', 'PERSON'), ('Bob', 'PERSON')]"
"Darrow, Russ",PERSON,"[('Russ', 'PERSON')]"
"Thomas, Julie",PERSON,"[('Thomas', 'PERSON'), ('Julie', 'PERSON')]"
Kansas,GPE,"[('Kansas', 'GPE')]"
"Matsui, Robert Takeo (Bob)",PERSON,"[('Matsui', 'ORG'), ('Robert Takeo', 'PERSON'), ('Bob', 'PERSON')]"
Anti-Mark Udall,ORG,"[('Anti-Mark Udall', 'PERSON')]"
"Garman, Rita B.",PERSON,"[('Garman', 'PERSON'), ('Rita B.', 'PERSON')]"
"Belskis, Lawrence",PERSON,"[('Lawrence', 'PERSON')]"
The Campaign for Working Families,ORG,"[('The Campaign for Working Families', 'ORG')]"
"Valenta, Frank",PERSON,"[('Valenta', 'PERSON'), ('Frank', 'PERSON')]"
"Feldkamp, Jim",PERSON,"[('Jim', 'PERSON')]"
"Gravel, Maurice Robert (Mike)",PERSON,"[('Maurice Robert', 'PERSON'), ('Mike', 'PERSON')]"
"Abbott, James W. (Jim)",PERSON,"[('Abbott', 'PERSON'), ('James W.', 'PERSON'), ('Jim', 'PERSON')]"
"Royer, Bill",PERSON,"[('Bill', 'PERSON')]"
"Bailey, Don",PERSON,"[('Bailey', 'ORG'), ('Don', 'PERSON')]"
"Unsoeld, Jolene",PERSON,"[('Unsoeld', 'GPE'), ('Jolene', 'PERSON')]"
"Dorsey, Jack",PERSON,"[('Dorsey', 'PERSON'), ('Jack', 'PERSON')]"
"Shaheen, Jeanne",PERSON,"[('Jeanne', 'PERSON')]"
"Welty, Harry Robb",PERSON,"[('Welty', 'GPE'), ('Harry Robb', 'PERSON')]"
"Didrickson, Loleta",PERSON,"[('Didrickson, Loleta', 'ORG')]"
"Griffin, Tim",PERSON,"[('Griffin', 'GPE'), ('Tim', 'PERSON')]"
"Talbot, Michael",PERSON,"[('Talbot', 'GPE'), ('Michael', 'PERSON')]"
"Noah, Matt",PERSON,"[('Matt', 'PERSON')]"
"Briggs, Ruth M.",PERSON,"[('Briggs', 'PERSON'), ('Ruth M.', 'PERSON')]"
"Finkbeiner, Carlton S. (Carty)",PERSON,"[('Carlton S. (', 'PERSON'), ('Carty', 'PERSON')]"
"Fadeley, Edward Norman",PERSON,"[('Fadeley', 'ORG'), ('Edward Norman', 'PERSON')]"
"Edgar, Robert William (Bob)",PERSON,"[('Edgar', 'PERSON'), ('Robert William', 'PERSON'), ('Bob', 'PERSON')]"
"Schipske, Gerrie",PERSON,"[('Gerrie', 'PERSON')]"
Delaware Democratic State Committee,ORG,"[('Delaware Democratic State Committee', 'ORG')]"
"Simon, Norton Winfred",PERSON,"[('Simon', 'PERSON'), ('Norton Winfred', 'PERSON')]"
"Humphreys, Kirk",PERSON,"[('Humphreys', 'PERSON'), ('Kirk', 'PERSON')]"
"Gibbons, Jim",PERSON,"[('Jim', 'PERSON')]"
"Melancon, Charles Joseph (Charlie)",PERSON,"[('Melancon', 'PERSON'), ('Charles Joseph', 'PERSON'), ('Charlie', 'PERSON')]"
National Conservative PAC,ORG,"[('National Conservative', 'ORG')]"
"Skaggs, Miller, David, Pat",PERSON,"[('Skaggs', 'ORG'), ('Miller', 'PERSON'), ('David', 'PERSON'), ('Pat', 'PERSON')]"
"Curran, John J.",PERSON,"[('John J.', 'PERSON')]"
"Price, Stuart",PERSON,"[('Stuart', 'ORG')]"
"Hovde, Eric",PERSON,"[('Eric', 'PERSON')]"
Matt Goetten for Congress 2012,ORG,"[('Matt Goetten', 'PERSON'), ('Congress', 'ORG'), ('2012', 'DATE')]"
"Bitter Smith, Susan",PERSON,"[('Bitter Smith', 'PERSON'), ('Susan', 'PERSON')]"
"Fletcher, Ernest Lee (Ernie)",PERSON,"[('Ernest Lee', 'PERSON'), ('Ernie', 'ORG')]"
"Fisher, Ovie Clark (O.C.)",PERSON,"[('Ovie Clark', 'PERSON'), ('O.C.', 'GPE')]"
"Erickson, John Edward",PERSON,"[('Erickson', 'PERSON'), ('John Edward', 'PERSON')]"
"Kennedy, Joe",PERSON,"[('Kennedy', 'PERSON'), ('Joe', 'PERSON')]"
"Matheson, James David (Jim)",PERSON,"[('Matheson', 'PERSON'), ('James David', 'PERSON'), ('Jim', 'PERSON')]"
"Rainville, Martha T.",PERSON,"[('Rainville', 'GPE'), ('Martha T.', 'PERSON')]"
"Rose, Robert Edgar",PERSON,"[('Robert Edgar', 'PERSON')]"
NRA-PVF,ORG,"[('NRA', 'GPE')]"
"Spears, Terry",PERSON,"[('Terry', 'PERSON')]"
"Hollowell, Melvin",PERSON,"[('Hollowell', 'PERSON'), ('Melvin', 'PERSON')]"
"Feeney, Tom",PERSON,"[('Feeney', 'ORG'), ('Tom', 'PERSON')]"
"Stoner, Thomas H.",PERSON,"[('Stoner', 'ORG'), ('Thomas H.', 'PERSON')]"
Beatty for Congress,ORG,"[('Congress', 'ORG')]"
"Mecham, Evan",PERSON,"[('Mecham', 'PERSON'), ('Evan', 'PERSON')]"
"Dawkins, Peter Miller",PERSON,"[('Peter Miller', 'PERSON')]"
"Whitfield, Wayne Edward (Ed)",PERSON,"[('Whitfield', 'PERSON'), ('Wayne Edward', 'PERSON'), ('Ed', 'PERSON')]"
"Canfield, Roger",PERSON,"[('Canfield', 'ORG'), ('Roger', 'PERSON')]"
"Dickey, Dickey, Jay W., Jr.",PERSON,"[('Dickey', 'GPE'), ('Dickey', 'GPE'), ('Jay W., Jr.', 'PERSON')]"
"Bivens, Don",PERSON,"[('Don', 'PERSON')]"
Henry Ross Republican for Congress ,ORG,"[('Henry Ross', 'PERSON'), ('Republican', 'NORP'), ('Congress', 'ORG')]"
"Jeffrey, Christina",PERSON,"[('Jeffrey', 'PERSON'), ('Christina', 'PERSON')]"
"Babcock, Tim",PERSON,"[('Babcock', 'PERSON'), ('Tim', 'PERSON')]"
"Benjamin, Brent",PERSON,"[('Benjamin, Brent', 'ORG')]"
"Stump, Robert Lee (Bob)",PERSON,"[('Robert Lee', 'PERSON'), ('Bob', 'PERSON')]"
"Jefferson, Wallace",PERSON,"[('Jefferson', 'PERSON'), ('Wallace', 'PERSON')]"
"Peacock, Bill",PERSON,"[('Bill', 'PERSON')]"
"Hunt, James Baxter Jr. (Jim)",PERSON,"[('Hunt', 'PERSON'), ('James Baxter Jr.', 'PERSON'), ('Jim', 'PERSON')]"
"Willis, Larryann C.",PERSON,"[('Willis', 'NORP'), ('Larryann C.', 'PERSON')]"
"Thomas, David",PERSON,"[('Thomas', 'PERSON'), ('David', 'PERSON')]"
"Allison, Gary D.",PERSON,"[('Allison', 'PERSON'), ('Gary D.', 'PERSON')]"
"Corwin, Jane",PERSON,"[('Jane', 'PERSON')]"
"Carne, Rick",PERSON,"[('Carne', 'PERSON'), ('Rick', 'PERSON')]"
"Demers, Jim",PERSON,"[('Jim', 'PERSON')]"
"Johnson, Brook",PERSON,"[('Johnson', 'PERSON'), ('Brook', 'ORG')]"
"Gilmore, James Stuart, III",PERSON,"[('James Stuart', 'PERSON')]"
"Pomeroy, Earl Ralph, III",PERSON,"[('Earl Ralph', 'PERSON'), ('III', 'ORG')]"
Jeff Sessions for Senate,ORG,"[('Jeff Sessions', 'PERSON'), ('Senate', 'ORG')]"
"Doss, Harry",PERSON,"[('Doss', 'PERSON'), ('Harry', 'PERSON')]"
"Calvert, Bill",PERSON,"[('Calvert', 'PERSON'), ('Bill', 'PERSON')]"
"Koehler, Judy",PERSON,"[('Koehler', 'ORG'), ('Judy', 'PERSON')]"
"Johnson, Bernette",PERSON,"[('Johnson', 'PERSON'), ('Bernette', 'PERSON')]"
"Johnson, Nancy Elizabeth Lee",PERSON,"[('Johnson', 'PERSON'), ('Nancy Elizabeth Lee', 'PERSON')]"
"Bridgewater, Tim",PERSON,"[('Tim', 'PERSON')]"
Citizens for common sense in Nat' defense,ORG,"[('Nat', 'PERSON')]"
"Weldon, David Joseph (Dave)",PERSON,"[('Weldon', 'GPE'), ('David Joseph', 'PERSON'), ('Dave', 'PERSON')]"
"Mikkelsen, Alan",PERSON,"[('Mikkelsen', 'PERSON'), ('Alan', 'PERSON')]"
"Murphy, Ian",PERSON,"[('Murphy', 'PERSON'), ('Ian', 'PERSON')]"
"Graf, Randy L.",PERSON,"[('Graf', 'PERSON'), ('Randy L.', 'PERSON')]"
"Brannen, Barney",PERSON,"[('Brannen', 'PERSON'), ('Barney', 'PERSON')]"
Foundation For Responsible Government,ORG,"[('Foundation For Responsible Government', 'ORG')]"
"Perrecone, Frank",PERSON,"[('Perrecone', 'ORG'), ('Frank', 'PERSON')]"
"Connell, John Joseph (Joseph)",PERSON,"[('Connell', 'ORG'), ('John Joseph', 'PERSON'), ('Joseph', 'PERSON')]"
"Roth, Tobias Anton (Toby)",PERSON,"[('Roth', 'PERSON'), ('Tobias Anton', 'PERSON')]"
"Alton, Duane",PERSON,"[('Alton', 'GPE'), ('Duane', 'PERSON')]"
Humane USA Political Action Comm,ORG,"[('Humane USA Political Action Comm', 'ORG')]"
"Pocan, Mark",PERSON,"[('Pocan', 'GPE'), ('Mark', 'PERSON')]"
"Davis, David",PERSON,"[('Davis', 'PERSON'), ('David', 'PERSON')]"
"Sweetser, Susan W.",PERSON,"[('Sweetser', 'ORG'), ('Susan W.', 'PERSON')]"
"Bull, Chip",PERSON,[]
"Nussle, James Allen (Jim)",PERSON,"[('Nussle', 'GPE'), ('James Allen', 'PERSON'), ('Jim', 'PERSON')]"
"Wallace, George Corley",PERSON,"[('Wallace', 'PERSON'), ('George Corley', 'PERSON')]"
United Seniors Association,ORG,"[('United Seniors Association', 'ORG')]"
"Snow, Karl Nelson, Jr.",PERSON,"[('Karl Nelson', 'PERSON'), ('Jr.', 'PERSON')]"
"Skoch, Bernie",PERSON,"[('Bernie', 'PERSON')]"
"Brewser, Bill K.",PERSON,"[('Bill K.', 'PERSON')]"
Reform Voter Project,ORG,[]
"McCallum, Linda",PERSON,"[('Linda', 'PERSON')]"
"Cornyn, John",PERSON,"[('John', 'PERSON')]"
"Johnson, Sven",PERSON,"[('Johnson', 'PERSON'), ('Sven', 'CARDINAL')]"
"Renacci, Jim",PERSON,"[('Jim', 'PERSON')]"
"Center, Tony",PERSON,"[('Tony', 'PERSON')]"
"Lingle, Linda",PERSON,"[('Lingle', 'ORG'), ('Linda', 'PERSON')]"
"Wilson, Ted",PERSON,"[('Wilson', 'ORG')]"
"Smith, Thomas O.H., Jr. (Tom)",PERSON,"[('Smith', 'GPE'), ('Thomas O.H., Jr.', 'PERSON'), ('Tom', 'PERSON')]"
"Lien, Charles Holm",PERSON,"[('Lien', 'PERSON'), ('Charles Holm', 'PERSON')]"
"Schuette, William Duncan (Bill)",PERSON,"[('Schuette', 'PERSON'), ('William Duncan', 'PERSON'), ('Bill', 'PERSON')]"
"Lee, Mike",PERSON,"[('Lee', 'PERSON'), ('Mike', 'PERSON')]"
"Blatt, Genevieve",PERSON,"[('Blatt', 'PERSON'), ('Genevieve', 'PERSON')]"
"Levin, Charles Leonard",PERSON,"[('Levin', 'PERSON'), ('Charles Leonard', 'PERSON')]"
"Koskoff, Charlotte",PERSON,"[('Koskoff', 'ORG'), ('Charlotte', 'GPE')]"
"Sparkman, John Jackson",PERSON,"[('John Jackson', 'PERSON')]"
