text,label,named_entities
"DiMauro, Ted",PERSON,"[('DiMauro', 'PERSON'), ('Ted', 'PERSON')]"
"Zimmer, Richard (Dick)",PERSON,"[('Zimmer', 'ORG'), ('Richard', 'PERSON'), ('Dick', 'PERSON')]"
Oklahoma Republican Party,ORG,"[('Oklahoma Republican Party', 'ORG')]"
"Vigilante, Kevin",PERSON,"[('Vigilante', 'PERSON'), ('Kevin', 'PERSON')]"
"Reardon, John Edward",PERSON,"[('Reardon', 'GPE'), ('John Edward', 'PERSON')]"
"Bitterman, Mary G.F.",PERSON,"[('Bitterman', 'PERSON'), ('Mary G.F.', 'PERSON')]"
"Freeman, Sandy",PERSON,"[('Freeman', 'PERSON'), ('Sandy', 'ORG')]"
Democratic Social Campaign Committee,ORG,"[('Democratic Social Campaign Committee', 'ORG')]"
"Rydalch, Ann",PERSON,"[('Rydalch', 'GPE'), ('Ann', 'PERSON')]"
"Greenwald, Becky",PERSON,"[('Greenwald', 'GPE'), ('Becky', 'PERSON')]"
"Schneider, Bill",PERSON,"[('Bill', 'PERSON')]"
"Ohrenschall, Eugenia",PERSON,"[('Eugenia', 'GPE')]"
"Coleman, Andy",PERSON,"[('Coleman', 'PERSON'), ('Andy', 'PERSON')]"
"Berryhill, Clare L.",PERSON,"[('Berryhill', 'ORG'), ('Clare L.', 'PERSON')]"
"Clark, James H., Jr.",PERSON,"[('Clark', 'PERSON'), ('James H., Jr.', 'PERSON')]"
"Herrera, Jaime",PERSON,"[('Jaime', 'PERSON')]"
"Sellers, Dean",PERSON,"[('Dean', 'PERSON')]"
"Mitchell, James F.",PERSON,"[('Mitchell', 'PERSON'), ('James F.', 'PERSON')]"
"Weiner, Bob",PERSON,"[('Weiner', 'ORG'), ('Bob', 'PERSON')]"
"Mattingly, Mack Francis",PERSON,"[('Mack Francis', 'PERSON')]"
"Moss, Frank Edward (Ted)",PERSON,"[('Frank Edward', 'PERSON'), ('Ted', 'PERSON')]"
"Kemp, Jack French, Jr.",PERSON,"[('Kemp', 'ORG'), ('Jack French', 'PERSON')]"
"Ogonowski, Jim",PERSON,"[('Jim', 'PERSON')]"
"George, Jonathan D.",PERSON,"[('George', 'PERSON'), ('Jonathan D.', 'PERSON')]"
"Ruiz, Joe",PERSON,"[('Joe', 'PERSON')]"
"Holton, David",PERSON,"[('Holton', 'GPE'), ('David', 'PERSON')]"
"Fitzgerald, Jeff",PERSON,"[('Fitzgerald', 'PERSON'), ('Jeff', 'PERSON')]"
"Zahn, Tony",PERSON,"[('Zahn', 'PERSON'), ('Tony', 'PERSON')]"
"Lujan, Edward",PERSON,"[('Lujan', 'PERSON'), ('Edward', 'PERSON')]"
"Schmidt, Jean",PERSON,"[('Schmidt', 'PERSON'), ('Jean', 'PERSON')]"
Bucshon for Congress,ORG,"[('Congress', 'ORG')]"
"Campbell, Tom",PERSON,"[('Campbell', 'ORG'), ('Tom', 'PERSON')]"
"Griego, Eric",PERSON,"[('Eric', 'PERSON')]"
"Soglin, Paul R.",PERSON,"[('Soglin', 'ORG'), ('Paul R.', 'PERSON')]"
"Hastings, Doc",PERSON,"[('Doc', 'PERSON')]"
"Ledbetter, Stewart M.",PERSON,"[('Ledbetter', 'PERSON'), ('Stewart M.', 'PERSON')]"
The United States Chamber of Commerce,ORG,"[('The United States', 'ORG')]"
"Tanksley, Charles",PERSON,"[('Tanksley', 'PERSON'), ('Charles', 'PERSON')]"
"Cavasso, Campbell (Cam)",PERSON,"[('Cavasso', 'ORG'), ('Campbell', 'ORG')]"
"Morgan, Mike",PERSON,"[('Morgan', 'ORG'), ('Mike', 'PERSON')]"
"McGinty, Timothy",PERSON,"[('Timothy', 'PERSON')]"
"Hulshof, Kenny",PERSON,"[('Hulshof', 'GPE'), ('Kenny', 'GPE')]"
"McCallum, John",PERSON,"[('John', 'PERSON')]"
"McCarthy, Karen",PERSON,"[('McCarthy', 'PERSON'), ('Karen', 'PERSON')]"
"Johnson, Larry E.",PERSON,"[('Johnson', 'PERSON'), ('Larry E.', 'PERSON')]"
"Keller, Rick",PERSON,"[('Keller', 'PERSON'), ('Rick', 'PERSON')]"
Club for Growth Action,ORG,"[('Club for Growth Action', 'ORG')]"
"Phelps, Rick",PERSON,"[('Rick', 'PERSON')]"
"Vance, Jimmy",PERSON,"[('Vance', 'PERSON'), ('Jimmy', 'PERSON')]"
Jamie Blaine for Congress,ORG,"[('Jamie Blaine', 'PERSON'), ('Congress', 'ORG')]"
Citizens to Cut & Cap Your Property Taxes,ORG,"[('Citizens to Cut & Cap Your Property Taxes', 'ORG')]"
"Palladeno, Don",PERSON,"[('Don', 'PERSON')]"
"Martinez, Susana",PERSON,"[('Martinez', 'PERSON'), ('Susana', 'PERSON')]"
"Warner, Glen W.",PERSON,"[('Warner', 'ORG'), ('Glen W.', 'PERSON')]"
Kerry Bentivolio for US Congress,ORG,"[('Kerry Bentivolio', 'PERSON'), ('US', 'GPE')]"
"DeWine, Richard Michael (Mike)",PERSON,"[('DeWine', 'ORG'), ('Richard Michael', 'PERSON'), ('Mike', 'PERSON')]"
"Richard, Jim",PERSON,"[('Richard', 'PERSON'), ('Jim', 'PERSON')]"
"Titla, Mary Kim",PERSON,"[('Mary Kim', 'PERSON')]"
"Levin, Sander Martin (Sandy)",PERSON,"[('Levin', 'PERSON'), ('Sander Martin', 'PERSON')]"
"Moore Capito, Shelley",PERSON,"[('Moore Capito', 'PERSON'), ('Shelley', 'PERSON')]"
"Levitas, Elliott Harris",PERSON,"[('Levitas', 'ORG'), ('Elliott Harris', 'PERSON')]"
"Baucus, Max Sieben",PERSON,"[('Max Sieben', 'PERSON')]"
"Byrd, Robert Carlyle",PERSON,"[('Robert Carlyle', 'PERSON')]"
"Hyde, Henry",PERSON,"[('Henry', 'GPE')]"
"Melcher, John",PERSON,"[('John', 'PERSON')]"
"Johnson, David",PERSON,"[('Johnson', 'PERSON'), ('David', 'PERSON')]"
"Cheney, Liz",PERSON,"[('Cheney', 'PERSON'), ('Liz', 'PERSON')]"
"Hayes, James A. (Jimmy)",PERSON,"[('Hayes', 'PERSON'), ('James A.', 'PERSON'), ('Jimmy', 'PERSON')]"
"Shilling, Bobby",PERSON,"[('Bobby', 'PERSON')]"
"Combs, Marsha",PERSON,"[('Marsha', 'GPE')]"
"Gambrell, David Henry",PERSON,"[('Gambrell', 'PERSON'), ('David Henry', 'PERSON')]"
"Deer, Ada",PERSON,"[('Ada', 'PERSON')]"
"Caesar, Josh",PERSON,"[('Josh', 'PERSON')]"
"Humphreys, James F. (Jim)",PERSON,"[('Humphreys', 'PERSON'), ('James F.', 'PERSON'), ('Jim', 'PERSON')]"
"Wilson, Heather",PERSON,"[('Wilson', 'ORG')]"
"Simon, Paul Martin",PERSON,"[('Simon', 'PERSON'), ('Paul Martin', 'PERSON')]"
"Coxe, Trudy",PERSON,[]
"Blask, James K.",PERSON,"[('James K.', 'PERSON')]"
"Minnick, Walt",PERSON,"[('Minnick', 'GPE'), ('Walt', 'PERSON')]"
"Myers, Woody",PERSON,[]
"Love, Jay",PERSON,"[('Love', 'WORK_OF_ART'), ('Jay', 'PERSON')]"
"Beall, James Glenn",PERSON,"[('James Glenn', 'PERSON')]"
"DeWinter, Ted",PERSON,"[('DeWinter', 'PERSON')]"
"Smith, Robert Clinton (Bob)",PERSON,"[('Smith', 'GPE'), ('Robert Clinton', 'PERSON'), ('Bob', 'PERSON')]"
"Tarrant, Richard Edward (Rich)",PERSON,"[('Richard Edward', 'PERSON')]"
"Royce, Ed",PERSON,"[('Ed', 'PERSON')]"
"Smith, Peter P.",PERSON,"[('Smith', 'GPE'), ('Peter P.', 'PERSON')]"
"Bedford, Roger H., Jr.",PERSON,"[('Bedford', 'GPE'), ('Roger H., Jr.', 'PERSON')]"
"Allison, Joan B.",PERSON,"[('Allison', 'PERSON'), ('Joan B.', 'PERSON')]"
New Jersey,GPE,"[('New Jersey', 'GPE')]"
"Kerr, Robert Samuel, III (Bob)",PERSON,"[('Kerr', 'ORG'), ('Robert Samuel', 'PERSON'), ('Bob', 'PERSON')]"
North Carolina Peace Action,ORG,"[('North Carolina Peace Action', 'ORG')]"
"Gilman, Ben",PERSON,"[('Gilman', 'NORP'), ('Ben', 'PERSON')]"
Steve Waterworth for Congress,ORG,"[('Steve Waterworth', 'PERSON'), ('Congress', 'ORG')]"
"Castro, Bernadette",PERSON,"[('Castro', 'PERSON'), ('Bernadette', 'PERSON')]"
"Carr, Ron",PERSON,"[('Carr', 'PERSON'), ('Ron', 'PERSON')]"
"Conaway, K. Michael (Mike)",PERSON,"[('Mike', 'PERSON')]"
South Carolina Republican Party,ORG,"[('South Carolina', 'GPE'), ('Republican Party', 'ORG')]"
"Treffinger, Jim",PERSON,"[('Jim', 'PERSON')]"
"Johnson, Harold",PERSON,"[('Johnson', 'PERSON'), ('Harold', 'PERSON')]"
"Wise, Robert Ellsworth, Jr. (Bob)",PERSON,"[('Robert Ellsworth', 'PERSON'), ('Jr.', 'PERSON'), ('Bob', 'PERSON')]"
Declaration Alliance,ORG,[]
"Parraguirre, Ron",PERSON,"[('Ron', 'PERSON')]"
"Corsi, Dave",PERSON,"[('Dave', 'PERSON')]"
"Shamie, Raymond (Ray)",PERSON,"[('Shamie', 'PERSON'), ('Raymond (Ray', 'PERSON')]"
"Metcalf, Jack",PERSON,"[('Jack', 'PERSON')]"
"Weinberger, Robert A.",PERSON,"[('Weinberger', 'PERSON'), ('Robert A.', 'PERSON')]"
"Ford, Aubrey, Jr.",PERSON,"[('Ford', 'ORG'), ('Aubrey, Jr.', 'GPE')]"
"Butts, Terry Lucas",PERSON,"[('Terry Lucas', 'PERSON')]"
"Rosenberger, Geoff H.",PERSON,"[('Geoff H.', 'PERSON')]"
"Lagomarsino, Robert John (Bob)",PERSON,"[('Robert John', 'PERSON'), ('Bob', 'PERSON')]"
"Burr, Richard Mauze",PERSON,"[('Richard Mauze', 'PERSON')]"
"Fagg, Russell",PERSON,"[('Russell', 'PERSON')]"
"McNeil, Andrew",PERSON,"[('McNeil', 'PERSON'), ('Andrew', 'PERSON')]"
"Wynia, Ann Jobe",PERSON,"[('Wynia', 'GPE'), ('Ann Jobe', 'PERSON')]"
"Shea, Dennis",PERSON,"[('Shea', 'ORG'), ('Dennis', 'PERSON')]"
Oregon Republican Party,ORG,"[('Oregon Republican Party', 'ORG')]"
"Harris, Fred Roy",PERSON,"[('Harris', 'PERSON'), ('Fred Roy', 'PERSON')]"
"Littlejohn, Janet",PERSON,"[('Littlejohn', 'PERSON'), ('Janet', 'PERSON')]"
"Bentsen, Ken",PERSON,"[('Bentsen', 'PERSON'), ('Ken', 'PERSON')]"
"Volkmer, Harold Lee",PERSON,"[('Harold Lee', 'PERSON')]"
The Progressive Change Campaign Committee,ORG,"[('The Progressive Change Campaign Committee', 'ORG')]"
"Finch, Walter Goss Gilcrist",PERSON,"[('Walter Goss Gilcrist', 'PERSON')]"
Friends of Liberty for Jessica,ORG,"[('Friends of Liberty', 'ORG'), ('Jessica', 'NORP')]"
"Van Sistine, Jerry",PERSON,"[('Van Sistine', 'PERSON'), ('Jerry', 'PERSON')]"
"Stearns, Clifford Bundy (Cliff)",PERSON,"[('Clifford Bundy', 'PERSON')]"
"Britt, Charles Robin",PERSON,"[('Britt', 'PERSON'), ('Charles Robin', 'PERSON')]"
"Harrison, William Henry",PERSON,"[('William Henry', 'PERSON')]"
"Carper, Thomas Richard (Tom)",PERSON,"[('Carper', 'PERSON'), ('Thomas Richard', 'PERSON'), ('Tom', 'PERSON')]"
"Morvant, Bill",PERSON,"[('Bill', 'PERSON')]"
"Cosgrove, Burt",PERSON,"[('Burt', 'PERSON')]"
"Thomas, Herman",PERSON,"[('Thomas', 'PERSON'), ('Herman', 'PERSON')]"
"Ewing, Andy",PERSON,"[('Andy', 'PERSON')]"
"AuCoin, Les",PERSON,"[('AuCoin', 'ORG'), ('Les', 'GPE')]"
"Foster, Smith",PERSON,"[('Foster', 'PERSON'), ('Smith', 'GPE')]"
"Snowbarger, Vincent K. (Vince)",PERSON,"[('Snowbarger', 'ORG'), ('Vincent K. (Vince', 'PERSON')]"
"Ganske, Greg ",PERSON,[]
"Klug, Scott Leo",PERSON,"[('Scott Leo', 'PERSON')]"
"Buford, Manville T.",PERSON,"[('Manville T.', 'PERSON')]"
"Eliel Garcia, Juan",PERSON,"[('Eliel Garcia', 'PERSON'), ('Juan', 'PERSON')]"
"Hare, Phil",PERSON,"[('Phil', 'PERSON')]"
"Coppersmith, Sam",PERSON,"[('Sam', 'PERSON')]"
"Droney, John J.",PERSON,"[('Droney', 'PERSON'), ('John J.', 'PERSON')]"
"Perdue, Bev",PERSON,"[('Bev', 'PERSON')]"
"Miller, Stanley A.",PERSON,"[('Miller', 'ORG'), ('Stanley A.', 'PERSON')]"
"Feeley, Mike",PERSON,"[('Feeley', 'ORG'), ('Mike', 'PERSON')]"
"Clark, Richard",PERSON,"[('Clark', 'PERSON'), ('Richard', 'PERSON')]"
"Summers, Charles E.",PERSON,"[('Charles E.', 'PERSON')]"
"Swope, Derek",PERSON,[]
"Bowles, Erskine Boyce",PERSON,"[('Bowles', 'PERSON'), ('Erskine Boyce', 'PERSON')]"
"Andersen, Bill",PERSON,"[('Bill', 'PERSON')]"
"Mitchel, John",PERSON,"[('Mitchel', 'PERSON'), ('John', 'PERSON')]"
"Chandler, Rodney Dennis (Rod)",PERSON,"[('Chandler', 'PERSON'), ('Rodney Dennis', 'PERSON'), ('Rod', 'PERSON')]"
"Pease, Donald James",PERSON,"[('Donald James', 'PERSON')]"
"Douglas, Jim",PERSON,"[('Douglas', 'PERSON'), ('Jim', 'PERSON')]"
"Thompson, Fred",PERSON,"[('Thompson', 'ORG')]"
"Mizusawa, Bert",PERSON,"[('Mizusawa', 'ORG'), ('Bert', 'PERSON')]"
"Watts, Eugene J.",PERSON,"[('Watts', 'ORG'), ('Eugene J.', 'PERSON')]"
"Stoner, Jesse Benjamin (J.B.)",PERSON,"[('Stoner', 'ORG'), ('Jesse Benjamin', 'PERSON'), ('J.B.', 'GPE')]"
"Lonsdale, Henry",PERSON,"[('Lonsdale', 'GPE'), ('Henry', 'GPE')]"
"Sowards, Greg",PERSON,[]
"McCoy, Tully",PERSON,"[('Tully', 'PERSON')]"
Hice US Congress,ORG,"[('Hice US Congress', 'ORG')]"
"The Cat, Hank ",PERSON,"[('Hank', 'PERSON')]"
"Harris, Felicia",PERSON,"[('Harris', 'PERSON'), ('Felicia', 'PERSON')]"
"Heinrich, Martin Trevor",PERSON,"[('Martin Trevor', 'PERSON')]"
"Waterworth, Steve",PERSON,"[('Steve', 'PERSON')]"
"Sonneland, John",PERSON,"[('Sonneland', 'ORG'), ('John', 'PERSON')]"
"Givens, Jeanne",PERSON,"[('Givens', 'PERSON'), ('Jeanne', 'PERSON')]"
"Kennelly, Barbara Bailey",PERSON,"[('Kennelly', 'ORG'), ('Barbara Bailey', 'PERSON')]"
"Childers, Travis Wayne",PERSON,"[('Travis Wayne', 'PERSON')]"
"Winter, William Forrest",PERSON,"[('Winter', 'DATE'), ('William Forrest', 'PERSON')]"
"Ceci, Louis J.",PERSON,"[('Louis J.', 'PERSON')]"
"Carpinello, Anthony",PERSON,"[('Anthony', 'PERSON')]"
"Jones, Stephanie Tubbs",PERSON,"[('Stephanie Tubbs', 'PERSON')]"
"Boren, Jim",PERSON,"[('Boren', 'PERSON'), ('Jim', 'PERSON')]"
"Scott, John W.",PERSON,"[('Scott', 'PERSON'), ('John W.', 'PERSON')]"
Democratic Party of Illinois,ORG,"[('Democratic Party of Illinois', 'ORG')]"
"Johnson, Joan",PERSON,"[('Johnson', 'PERSON'), ('Joan', 'PERSON')]"
"Carl, Doug",PERSON,"[('Carl', 'PERSON'), ('Doug', 'PERSON')]"
"Fulbright, James William (J.) ",PERSON,"[('James William', 'PERSON'), ('J.', 'ORG')]"
"Cooper, Jerry",PERSON,[]
"Owen, Charles L.",PERSON,"[('Owen', 'PERSON'), ('Charles L.', 'PERSON')]"
"Corradino, Joe",PERSON,"[('Corradino', 'ORG'), ('Joe', 'PERSON')]"
"McCollum, Ira William, Jr. (Bill)",PERSON,"[('McCollum', 'ORG'), ('Jr.', 'PERSON'), ('Bill', 'PERSON')]"
"Murphy, Mike",PERSON,"[('Murphy', 'WORK_OF_ART'), ('Mike', 'PERSON')]"
"Hatfield, P. Kelly (Kelly)",PERSON,"[('Hatfield, P. Kelly', 'ORG'), ('Kelly', 'PERSON')]"
"Ridge, Thomas Joseph (Tom)",PERSON,"[('Ridge', 'PERSON'), ('Thomas Joseph', 'PERSON'), ('Tom', 'PERSON')]"
National Rifle Association Political Victory Fund,ORG,"[('National Rifle Association Political Victory Fund', 'ORG')]"
"Allen, George Felix",PERSON,"[('George Felix', 'PERSON')]"
"Grant, David Jerome",PERSON,"[('David Jerome', 'PERSON')]"
"Homer, Thomas J.",PERSON,"[('Thomas J.', 'PERSON')]"
"Kuchel, Thomas Henry",PERSON,"[('Kuchel', 'PERSON'), ('Thomas Henry', 'PERSON')]"
"Hogan, Tom",PERSON,"[('Hogan', 'PERSON'), ('Tom', 'PERSON')]"
"Smith, Joseph",PERSON,"[('Smith', 'GPE'), ('Joseph', 'PERSON')]"
"Pitts, Terrance",PERSON,"[('Pitts', 'GPE')]"
"O'Dell, Gloria",PERSON,"[(""O'Dell"", 'ORG'), ('Gloria', 'PERSON')]"
"Heitkamp, Mary Kathryn (Heidi)",PERSON,"[('Mary Kathryn', 'PERSON'), ('Heidi', 'PERSON')]"
"Barth, Anne",PERSON,"[('Barth', 'GPE')]"
"Feingold, Russell Dana (Russ)",PERSON,"[('Russell Dana', 'PERSON'), ('Russ', 'PERSON')]"
Chip for Congress,ORG,"[('Congress', 'ORG')]"
"Krysztoforski, Joseph",PERSON,"[('Krysztoforski', 'PERSON'), ('Joseph', 'PERSON')]"
"Johnson, Rob",PERSON,"[('Johnson', 'PERSON'), ('Rob', 'PERSON')]"
"Whitfield, John",PERSON,"[('Whitfield', 'PERSON'), ('John', 'PERSON')]"
"Giuliani, Rudolph William Lewis, III (Rudy)",PERSON,"[('Giuliani', 'PERSON'), ('Rudolph William Lewis', 'PERSON'), ('Rudy', 'PERSON')]"
"Gorman, Chris",PERSON,"[('Chris', 'PERSON')]"
"Kahn, Roger",PERSON,"[('Kahn', 'PERSON'), ('Roger', 'PERSON')]"
"Milliken, John Geddes",PERSON,"[('Milliken', 'PERSON'), ('John Geddes', 'PERSON')]"
"Whitehouse, Sheldon",PERSON,[]
"DioGuardi, Joseph J.",PERSON,"[('DioGuardi', 'ORG'), ('Joseph J.', 'PERSON')]"
"Shannon, James Michael (Jim)",PERSON,"[('Shannon', 'FAC'), ('James Michael', 'PERSON'), ('Jim', 'PERSON')]"
"Weiland, Rick",PERSON,"[('Rick', 'PERSON')]"
"Fithian, Floyd James",PERSON,"[('Fithian', 'ORG'), ('Floyd James', 'PERSON')]"
"Wainwright, Dale",PERSON,"[('Dale', 'PERSON')]"
New Jersey Republican State Committee,ORG,"[('New Jersey', 'GPE'), ('Republican', 'NORP'), ('State Committee', 'ORG')]"
"Knapp, Davis Cheryl",PERSON,"[('Knapp', 'GPE'), ('Davis Cheryl', 'PERSON')]"
Fletcher & Rowley Consulting Inc,ORG,"[('Fletcher & Rowley Consulting Inc', 'ORG')]"
Mississippi Democratic Party,ORG,"[('Mississippi Democratic Party', 'ORG')]"
"Gallegos, Lou",PERSON,"[('Lou', 'PERSON')]"
"Ciresi, Mike",PERSON,"[('Ciresi', 'PERSON'), ('Mike', 'PERSON')]"
"Tegerdine, Joe",PERSON,"[('Tegerdine', 'ORG'), ('Joe', 'PERSON')]"
DSCC / Democratic Senatorial Campaign Committee,ORG,"[('DSCC / Democratic Senatorial Campaign Committee', 'ORG')]"
"Lowe, Dan",PERSON,"[('Dan', 'PERSON')]"
Every Child Matters,ORG,[]
U.S. Chamber of Commerce,ORG,"[('U.S. Chamber of Commerce', 'ORG')]"
"Carper, Thomas Richard (Tom)",PERSON,"[('Carper', 'PERSON'), ('Thomas Richard', 'PERSON'), ('Tom', 'PERSON')]"
"Chambliss, Saxby",PERSON,[]
"MacGregor, Clark",PERSON,"[('MacGregor', 'ORG'), ('Clark', 'PERSON')]"
"Sutton, Betty",PERSON,"[('Sutton', 'ORG'), ('Betty', 'ORG')]"
"Kiefer, Nat Gerard",PERSON,"[('Nat Gerard', 'PERSON')]"
"Larsen, David",PERSON,"[('Larsen', 'PERSON'), ('David', 'PERSON')]"
"Neilson, Claud D.",PERSON,"[('Neilson', 'ORG'), ('Claud D.', 'NORP')]"
"LaRocco, Larry",PERSON,"[('LaRocco', 'PERSON'), ('Larry', 'PERSON')]"
"Nunnelee, Alan",PERSON,"[('Nunnelee', 'ORG'), ('Alan', 'PERSON')]"
"Pittman, Charles",PERSON,"[('Charles', 'PERSON')]"
"Takach, Stephen",PERSON,"[('Stephen', 'PERSON')]"
"Keck, James Moulton (Jim)",PERSON,"[('Keck', 'PERSON'), ('James Moulton', 'PERSON'), ('Jim', 'PERSON')]"
"Watkins, Wesley Wade (Wes)",PERSON,"[('Wesley Wade', 'PERSON'), ('Wes', 'PERSON')]"
"Mullin, James E.",PERSON,"[('Mullin', 'PERSON'), ('James E.', 'PERSON')]"
"Posey, Bill",PERSON,"[('Posey', 'ORG'), ('Bill', 'PERSON')]"
"Humphrey, Hubert Horatio, Jr.",PERSON,"[('Humphrey', 'PERSON'), ('Hubert Horatio', 'PERSON')]"
"Coors, Peter Hanson (Pete)",PERSON,"[('Coors', 'ORG'), ('Peter Hanson', 'PERSON'), ('Pete', 'PERSON')]"
"Lieberman, Joesph Isadore (Joe)",PERSON,"[('Lieberman', 'PERSON'), ('Joesph Isadore', 'PERSON'), ('Joe', 'PERSON')]"
"Rangos, Jill",PERSON,"[('Rangos', 'GPE'), ('Jill', 'PERSON')]"
"Moshofsky, William James (Bill)",PERSON,"[('Moshofsky', 'PERSON'), ('William James', 'PERSON'), ('Bill', 'PERSON')]"
"English, Glenn",PERSON,"[('English', 'LANGUAGE'), ('Glenn', 'PERSON')]"
"Edwards, Chris",PERSON,"[('Edwards', 'ORG'), ('Chris', 'PERSON')]"
"Mountain, Barbara",PERSON,"[('Mountain', 'GPE'), ('Barbara', 'PERSON')]"
"Ricketts, John Peter (Pete)",PERSON,"[('John Peter', 'PERSON'), ('Pete', 'PERSON')]"
"Abt, Clark",PERSON,"[('Clark', 'PERSON')]"
"Bornstein, Julie",PERSON,"[('Bornstein', 'PERSON'), ('Julie', 'PERSON')]"
"Smith, Nick H.",PERSON,"[('Smith', 'GPE'), ('Nick H.', 'PERSON')]"
"Friends of Stephen Simpson, Inc.",ORG,"[('Stephen Simpson', 'PERSON')]"
"Oliverio, Mike",PERSON,"[('Oliverio', 'CARDINAL'), ('Mike', 'PERSON')]"
"Anderson, Jeff",PERSON,"[('Anderson', 'PERSON'), ('Jeff', 'PERSON')]"
"Miklosi, Joe",PERSON,"[('Joe', 'PERSON')]"
"Deddeh, Wadie",PERSON,"[('Wadie', 'ORG')]"
"Dewhurst, David",PERSON,"[('Dewhurst', 'NORP'), ('David', 'PERSON')]"
"Vinich, John Paul",PERSON,"[('John Paul', 'PERSON')]"
"Eitzen, Tari S.",PERSON,"[('Tari S.', 'PERSON')]"
Club For Growth,ORG,"[('Club For Growth', 'ORG')]"
New York State Democratic Committee,ORG,"[('New York State Democratic Committee', 'GPE')]"
"Brewster, Gerry Leiper",PERSON,"[('Brewster', 'ORG'), ('Gerry Leiper', 'PERSON')]"
Coalition for the Future American Worker,ORG,[]
"Gringrey, John Phillip (Phil)",PERSON,"[('Gringrey', 'PERSON'), ('John Phillip', 'PERSON'), ('Phil', 'PERSON')]"
"Hensley, Sam P.",PERSON,"[('Hensley', 'PERSON'), ('Sam P.', 'PERSON')]"
Americans for Conservation,ORG,"[('Americans', 'NORP')]"
"Huddleston, Walter Darlington (Dee)",PERSON,"[('Huddleston', 'ORG'), ('Walter Darlington', 'PERSON'), ('Dee', 'PERSON')]"
"Hazlett, Allan Ashley",PERSON,"[('Hazlett', 'PERSON'), ('Allan Ashley', 'PERSON')]"
People for the American Way,ORG,"[('American', 'NORP')]"
Republican State Central Committee of South Dakota,ORG,"[('Republican State Central Committee of South Dakota', 'ORG')]"
"Beckam, Gerald",PERSON,"[('Gerald', 'PERSON')]"
"Ober, Jay",PERSON,"[('Jay', 'PERSON')]"
"Jolly, Chuck",PERSON,"[('Chuck', 'PERSON')]"
"Webb-Edgington, Alecia",PERSON,"[('Webb-Edgington', 'ORG'), ('Alecia', 'PERSON')]"
"Carmouche, Paul",PERSON,"[('Carmouche', 'ORG'), ('Paul', 'PERSON')]"
