text,label,named_entities
"Sogg, Linda Rocker",PERSON,"[('Sogg', 'ORG'), ('Linda Rocker', 'PERSON')]"
Friends of Rowland,ORG,"[('Friends of Rowland', 'ORG')]"
"Kostmayer, Peter Houston",PERSON,"[('Kostmayer', 'ORG'), ('Peter Houston', 'PERSON')]"
"Asbury, Charles Theodore, Jr. (Ted)",PERSON,"[('Asbury', 'ORG'), ('Charles Theodore', 'PERSON'), ('Jr.', 'PERSON'), ('Ted', 'PERSON')]"
"McKibben, Larry",PERSON,"[('Larry', 'PERSON')]"
"Terrant, Richard Edward",PERSON,"[('Richard Edward', 'PERSON')]"
"Henry, Steve",PERSON,"[('Henry', 'GPE'), ('Steve', 'PERSON')]"
"Ribble, Reid",PERSON,"[('Reid', 'PERSON')]"
"Bucshon, Larry",PERSON,"[('Larry', 'PERSON')]"
"Birch, A. A.",PERSON,[]
"McGovern, James P. (Jim)",PERSON,"[('McGovern', 'ORG'), ('James P.', 'PERSON'), ('Jim', 'PERSON')]"
Illinois Women Vote!/EMILY's List,ORG,"[('Illinois', 'GPE'), ('Vote!/EMILY', 'DATE')]"
"Hunt, Bill",PERSON,"[('Hunt', 'PERSON'), ('Bill', 'PERSON')]"
"Studds, Gerry Eastman",PERSON,"[('Studds', 'ORG'), ('Gerry Eastman', 'PERSON')]"
"Hunt, Jim",PERSON,"[('Hunt', 'PERSON'), ('Jim', 'PERSON')]"
"Martin, Lynn Morley",PERSON,"[('Martin', 'ORG'), ('Lynn Morley', 'PERSON')]"
"Ryan, Tim",PERSON,"[('Ryan', 'PERSON'), ('Tim', 'PERSON')]"
"Campaigne, Tony",PERSON,"[('Tony', 'PERSON')]"
West Virginia,GPE,"[('West Virginia', 'GPE')]"
"Parker, Marshall Joyner",PERSON,"[('Parker', 'ORG'), ('Marshall Joyner', 'PERSON')]"
"Schrock, Edward (Ed)",PERSON,"[('Schrock', 'ORG'), ('Edward', 'PERSON'), ('Ed', 'PERSON')]"
"House, Art",PERSON,"[('House', 'ORG')]"
"Kelly, Scotty",PERSON,"[('Kelly', 'ORG')]"
"Holden, Thomas Timothy (Tim)",PERSON,"[('Thomas Timothy', 'PERSON'), ('Tim', 'PERSON')]"
Save Our Environment,ORG,[]
"Thomas, David",PERSON,"[('Thomas', 'PERSON'), ('David', 'PERSON')]"
"Grimm, Michael",PERSON,"[('Grimm', 'ORG'), ('Michael', 'PERSON')]"
"Franks, Gary",PERSON,"[('Gary', 'PERSON')]"
Jim Abbott for Congress,ORG,"[('Jim Abbott', 'PERSON'), ('Congress', 'ORG')]"
"Gullick, Carl",PERSON,"[('Gullick', 'ORG'), ('Carl', 'PERSON')]"
"Burns, Kevin",PERSON,"[('Kevin', 'PERSON')]"
"Stenberg, Donald A. (Don)",PERSON,"[('Stenberg', 'PERSON'), ('Donald A.', 'PERSON'), ('Don', 'PERSON')]"
"Mann, David S.",PERSON,"[('Mann', 'PERSON'), ('David S.', 'PERSON')]"
"Cooper, James Ralph",PERSON,"[('Cooper', 'PERSON'), ('James Ralph', 'PERSON')]"
"Miller, Ralph Bradley (Brad)",PERSON,"[('Miller', 'PERSON'), ('Ralph Bradley', 'PERSON'), ('Brad', 'PERSON')]"
"Synar, Michael Lynn (Mike)",PERSON,"[('Synar', 'GPE'), ('Michael Lynn', 'PERSON'), ('Mike', 'PERSON')]"
"Bayne, Floyd",PERSON,"[('Floyd', 'PERSON')]"
"McMillen, Thomas Charles (Tom)",PERSON,"[('McMillen', 'PERSON'), ('Thomas Charles', 'PERSON'), ('Tom', 'PERSON')]"
"Docking, Jill",PERSON,"[('Jill', 'PERSON')]"
Citizens for Reform,ORG,"[('Citizens for Reform', 'ORG')]"
"Bilirakis, Gus Michael",PERSON,"[('Gus Michael', 'PERSON')]"
"Paul, Rand",PERSON,"[('Paul', 'PERSON'), ('Rand', 'ORG')]"
"Holtz, Dan",PERSON,"[('Holtz', 'PERSON'), ('Dan', 'PERSON')]"
Citizens for Zwick,ORG,"[('Citizens for Zwick', 'ORG')]"
"Thomas, Randall",PERSON,"[('Thomas', 'PERSON'), ('Randall', 'PERSON')]"
"Campbell, Foster L., Jr.",PERSON,"[('Campbell', 'ORG'), ('Foster L., Jr.', 'PERSON')]"
"Chappie, Gene",PERSON,"[('Chappie', 'NORP')]"
"Heftel, Cecil",PERSON,"[('Heftel', 'ORG')]"
"Ferguson, Scott",PERSON,"[('Ferguson', 'ORG'), ('Scott', 'PERSON')]"
"Maffei, Daniel B. (Dan)",PERSON,"[('Maffei', 'GPE'), ('Daniel B.', 'PERSON'), ('Dan', 'PERSON')]"
"Larsen, Rick",PERSON,"[('Larsen', 'PERSON'), ('Rick', 'PERSON')]"
"Lightfoot, James Ross (Jim)",PERSON,"[('James Ross', 'PERSON'), ('Jim', 'PERSON')]"
South Dakota Republican Party,ORG,"[('South Dakota Republican Party', 'ORG')]"
"Tyson, Priscilla",PERSON,"[('Tyson', 'ORG'), ('Priscilla', 'ORG')]"
"Barela, Jon",PERSON,"[('Barela', 'PERSON'), ('Jon', 'PERSON')]"
"Stevenson, Adlai Ewing, III",PERSON,"[('Stevenson', 'PERSON'), ('Adlai Ewing', 'PERSON')]"
"Mahaffey, Mike",PERSON,"[('Mahaffey', 'PERSON'), ('Mike', 'PERSON')]"
House Democratic Caucus Fund,ORG,"[('House Democratic Caucus Fund', 'ORG')]"
"Ward, Jim",PERSON,"[('Jim', 'PERSON')]"
"Howard, Laurence Edward",PERSON,"[('Howard', 'PERSON'), ('Laurence Edward', 'PERSON')]"
"Steele, Michael S.",PERSON,"[('Steele', 'PERSON'), ('Michael S.', 'PERSON')]"
"Clark,  Joseph Sill",PERSON,"[('Clark', 'PERSON'), ('Joseph Sill', 'PERSON')]"
"Smith, Adrian",PERSON,"[('Smith', 'GPE'), ('Adrian', 'NORP')]"
"Keating, Kenneth Barnard",PERSON,"[('Keating', 'GPE'), ('Kenneth Barnard', 'PERSON')]"
"Didier, Clint",PERSON,"[('Clint', 'PERSON')]"
"Young, Jesse",PERSON,"[('Jesse', 'PERSON')]"
"Herwig, Phil",PERSON,"[('Herwig', 'ORG'), ('Phil', 'PERSON')]"
"Pike, Doug",PERSON,"[('Pike, Doug', 'ORG')]"
"Blagojevich, Milorad R. (Rod)",PERSON,"[('Blagojevich', 'GPE'), ('Milorad R.', 'PERSON'), ('Rod', 'PERSON')]"
"Garcia, Jos Antonio, Jr. (Joe)",PERSON,"[('Garcia', 'PERSON'), ('Jos Antonio', 'PERSON'), ('Jr.', 'PERSON'), ('Joe', 'PERSON')]"
"Lehman, Richard H.",PERSON,"[('Lehman', 'ORG'), ('Richard H.', 'PERSON')]"
"Rehberg, Dennis Ray (Denny)",PERSON,"[('Rehberg', 'PERSON'), ('Dennis Ray', 'PERSON'), ('Denny', 'GPE')]"
"Barnes, Mike",PERSON,"[('Mike', 'PERSON')]"
"McMahon, Linda",PERSON,"[('McMahon', 'PERSON'), ('Linda', 'PERSON')]"
"Anthony, Beryl Franklin, Jr.",PERSON,"[('Beryl Franklin', 'PERSON')]"
"Wilson, Charles",PERSON,"[('Wilson', 'ORG'), ('Charles', 'PERSON')]"
"Stallings, Richard Howard",PERSON,"[('Richard Howard', 'PERSON')]"
Nebraska,GPE,"[('Nebraska', 'GPE')]"
"Plowman, Deb",PERSON,"[('Plowman', 'NORP')]"
"Healy, Bernadine",PERSON,"[('Healy', 'GPE'), ('Bernadine', 'PERSON')]"
"Olson, Pete",PERSON,"[('Olson', 'ORG'), ('Pete', 'PERSON')]"
"Brown, Rick",PERSON,"[('Rick', 'PERSON')]"
"Brown, Steve",PERSON,"[('Steve', 'PERSON')]"
"Anderson, Tom H.",PERSON,"[('Anderson', 'PERSON'), ('Tom H.', 'PERSON')]"
"Coakley, Martha",PERSON,"[('Coakley', 'ORG'), ('Martha', 'PERSON')]"
"Barca, Peter Wiiliam",PERSON,"[('Peter Wiiliam', 'PERSON')]"
"Harris, Claude, Jr.",PERSON,"[('Harris', 'PERSON'), ('Claude', 'PERSON'), ('Jr.', 'PERSON')]"
"Burr, Richard Mauze",PERSON,"[('Richard Mauze', 'PERSON')]"
The Libertarian Party,ORG,"[('The Libertarian Party', 'ORG')]"
"Brindenstine, Jim",PERSON,"[('Jim', 'PERSON')]"
"Worley, Harold G.",PERSON,"[('Harold G.', 'PERSON')]"
"Brunner, Robert (Robert Charles)",PERSON,"[('Robert (Robert Charles', 'PERSON')]"
"Newton, Matt",PERSON,"[('Newton', 'ORG'), ('Matt', 'PERSON')]"
"D'Amico, Gerard",PERSON,"[(""D'Amico"", 'PERSON'), ('Gerard', 'PERSON')]"
Bivens for Senate,ORG,"[('Senate', 'ORG')]"
"Griffin, Richard",PERSON,"[('Griffin', 'GPE'), ('Richard', 'PERSON')]"
"Sakai, Peter",PERSON,"[('Sakai', 'ORG'), ('Peter', 'PERSON')]"
"Moody, Edward",PERSON,"[('Moody,', 'ORG'), ('Edward', 'PERSON')]"
"Cox, Clay",PERSON,[]
"Rokita, Theodore Edward (Todd)",PERSON,"[('Rokita', 'ORG'), ('Theodore Edward', 'PERSON')]"
"Aust, Gil",PERSON,"[('Gil', 'PERSON')]"
"Nachwalter, George M.",PERSON,"[('Nachwalter', 'ORG'), ('George M.', 'PERSON')]"
Edgington for Congress,ORG,"[('Edgington for Congress', 'ORG')]"
"Lanphier, David",PERSON,"[('Lanphier', 'ORG'), ('David', 'PERSON')]"
"Bevill, Tom",PERSON,"[('Bevill', 'ORG'), ('Tom', 'PERSON')]"
"Williams, Danny",PERSON,"[('Williams', 'PERSON'), ('Danny', 'PERSON')]"
"Godwin, Fred",PERSON,"[('Godwin', 'PERSON')]"
"Helms, Kate",PERSON,"[('Helms', 'PERSON'), ('Kate', 'PERSON')]"
"Langevin, James (Jim)",PERSON,"[('Langevin', 'PERSON'), ('James', 'PERSON'), ('Jim', 'PERSON')]"
"Black, Tim",PERSON,"[('Tim', 'PERSON')]"
"Andrews, Rob",PERSON,"[('Rob', 'PERSON')]"
"Lopez, Alma L.",PERSON,[]
"Klein, Herb",PERSON,"[('Herb', 'PERSON')]"
"Kleeb, Scott",PERSON,"[('Kleeb', 'ORG'), ('Scott', 'PERSON')]"
Law Enforcement Alliance of America,ORG,"[('Law Enforcement Alliance of America', 'ORG')]"
Republican State Committee of Washington,ORG,"[('Republican State Committee', 'ORG')]"
"Defaria, Ozzie",PERSON,[]
"Rice, James",PERSON,"[('Rice', 'PERSON'), ('James', 'PERSON')]"
"Bush, Prescott Sheldon, Jr.",PERSON,"[('Bush', 'PERSON'), ('Prescott Sheldon', 'PERSON')]"
"Kalk, Brain",PERSON,"[('Brain', 'ORG')]"
"Williams, Scott",PERSON,"[('Williams', 'PERSON'), ('Scott', 'PERSON')]"
"Deddeh, Wadie",PERSON,"[('Wadie', 'ORG')]"
"Swift, Allan Byron (Al)",PERSON,"[('Allan Byron', 'PERSON')]"
"Taylor, Clifford (Cliff)",PERSON,"[('Taylor', 'PERSON')]"
"Dhillon, Neil",PERSON,"[('Dhillon', 'ORG'), ('Neil', 'PERSON')]"
"Goodell, Charles Ellsworth",PERSON,"[('Goodell', 'ORG'), ('Charles Ellsworth', 'PERSON')]"
"East, John Porter",PERSON,"[('John Porter', 'PERSON')]"
"Snowe, Olympia Jean Bouchles",PERSON,"[('Snowe', 'ORG'), ('Olympia Jean Bouchles', 'PERSON')]"
"Grannis, Mark",PERSON,"[('Mark', 'PERSON')]"
"Mathis, James Dunn (Jimmy)",PERSON,"[('James Dunn', 'PERSON'), ('Jimmy', 'PERSON')]"
"Hefner, Willie Gathrel (Bill)",PERSON,"[('Hefner', 'ORG'), ('Willie Gathrel', 'PERSON'), ('Bill', 'PERSON')]"
"Waterman, Mignon",PERSON,"[('Mignon', 'GPE')]"
"Baker, Isabel",PERSON,"[('Baker', 'PERSON')]"
"Wassa, Tom",PERSON,"[('Tom', 'PERSON')]"
Florida Democratic Party,ORG,"[('Florida Democratic Party', 'ORG')]"
"Rodgers, Mark",PERSON,"[('Mark', 'PERSON')]"
"Montoya, Harry",PERSON,"[('Montoya', 'GPE'), ('Harry', 'PERSON')]"
"Warner, Russ",PERSON,"[('Warner', 'ORG'), ('Russ', 'PERSON')]"
"Keet, Jim",PERSON,"[('Keet', 'PERSON'), ('Jim', 'PERSON')]"
"Phillips, Thomas R. (Tom)",PERSON,"[('Phillips', 'ORG'), ('Thomas R.', 'PERSON'), ('Tom', 'PERSON')]"
Wes Riddle for Congress,ORG,"[('Wes Riddle', 'PERSON'), ('Congress', 'ORG')]"
"Rice, Tom",PERSON,"[('Rice', 'PERSON'), ('Tom', 'PERSON')]"
"Carlson, David",PERSON,"[('Carlson', 'PERSON'), ('David', 'PERSON')]"
"Rhodes, John Jacob",PERSON,"[('John Jacob', 'PERSON')]"
"Kleppe, Thomas Savig",PERSON,"[('Kleppe', 'ORG'), ('Thomas Savig', 'PERSON')]"
"Thomas, Craig Lyle",PERSON,"[('Thomas', 'PERSON'), ('Craig Lyle', 'PERSON')]"
"Blumenauer, Earl",PERSON,"[('Blumenauer', 'ORG'), ('Earl', 'PERSON')]"
"Roach, Pam",PERSON,"[('Roach', 'PERSON')]"
"McPhillips, Julian",PERSON,"[('Julian', 'NORP')]"
"Allard, A. Wayne",PERSON,"[('A. Wayne', 'PERSON')]"
"Specter, Arlen",PERSON,"[('Specter', 'PERSON'), ('Arlen', 'PERSON')]"
"Chandler, Rodney Dennis (Rod)",PERSON,"[('Chandler', 'PERSON'), ('Rodney Dennis', 'PERSON'), ('Rod', 'PERSON')]"
"Flake, Jeffrey Lane (Jeff)",PERSON,"[('Jeffrey Lane', 'PERSON'), ('Jeff', 'PERSON')]"
"Rhodes, James Allen (Jim)",PERSON,"[('James Allen', 'PERSON'), ('Jim', 'PERSON')]"
"Thomas, Patsy",PERSON,"[('Thomas', 'PERSON'), ('Patsy', 'PERSON')]"
"Kelley, Kevin",PERSON,"[('Kelley', 'PERSON'), ('Kevin', 'PERSON')]"
"Schaffer, Robert W. (Bob)",PERSON,"[('Robert W. (', 'PERSON'), ('Bob', 'PERSON')]"
"Peden, Michael",PERSON,"[('Peden', 'GPE'), ('Michael', 'PERSON')]"
Bill Hafner for Congress,ORG,"[('Bill Hafner', 'PERSON'), ('Congress', 'ORG')]"
"Brown, George Hanks (Hank)",PERSON,"[('George Hanks', 'PERSON')]"
"Griffin, Bob",PERSON,"[('Griffin', 'GPE'), ('Bob', 'PERSON')]"
"Taylor, Van",PERSON,"[('Taylor', 'PERSON'), ('Van', 'PERSON')]"
"Richardson, Hubert Leon (H.L.)",PERSON,"[('Richardson', 'PERSON'), ('Hubert Leon', 'PERSON'), ('H.L.', 'ORG')]"
"Rothman, Steve",PERSON,"[('Rothman', 'ORG'), ('Steve', 'PERSON')]"
Republican Education Fund,ORG,"[('Republican Education Fund', 'ORG')]"
"Weiss, Patty",PERSON,"[('Weiss', 'ORG'), ('Patty', 'PERSON')]"
You're Fired - A 527 Political Organization,ORG,[]
"Roskam, Peter",PERSON,"[('Roskam', 'PERSON'), ('Peter', 'PERSON')]"
Public Campaign and Campaign for America's Future,ORG,"[(""Public Campaign and Campaign for America's"", 'ORG')]"
"Lonegan, Steve",PERSON,"[('Lonegan', 'ORG'), ('Steve', 'PERSON')]"
"Hyatt, Joel",PERSON,[]
"Schneider, Tom",PERSON,"[('Tom', 'PERSON')]"
"Beaudry, Bob",PERSON,"[('Beaudry', 'ORG'), ('Bob', 'PERSON')]"
"Sebring, Dan",PERSON,"[('Dan', 'PERSON')]"
"Thomas, Trevor",PERSON,"[('Thomas', 'PERSON')]"
"Boozman, John",PERSON,"[('Boozman', 'GPE'), ('John', 'PERSON')]"
"Galbraith, Jim",PERSON,"[('Galbraith', 'PERSON'), ('Jim', 'PERSON')]"
"Maloney, James H. (Jim)",PERSON,"[('Maloney', 'ORG'), ('James H.', 'PERSON'), ('Jim', 'PERSON')]"
"Shays, Christopher H. ",PERSON,"[('Christopher H.', 'PERSON')]"
"Harnett, Tommy",PERSON,"[('Tommy', 'PERSON')]"
Alaskan Independence Pary,PARTY,"[('Alaskan', 'NORP')]"
"Davis, Phil",PERSON,"[('Davis', 'PERSON'), ('Phil', 'PERSON')]"
"McGoff, John",PERSON,"[('McGoff', 'PERSON'), ('John', 'PERSON')]"
"Hathaway, James",PERSON,"[('Hathaway', 'ORG'), ('James', 'PERSON')]"
"Knorr, Gene",PERSON,"[('Knorr', 'PERSON'), ('Gene', 'PERSON')]"
"Miller, Rob",PERSON,"[('Miller', 'ORG'), ('Rob', 'PERSON')]"
"Jurtz, Walter",PERSON,"[('Jurtz', 'ORG'), ('Walter', 'PERSON')]"
"Davison, Renee Forgensi",PERSON,"[('Davison', 'PERSON'), ('Renee Forgensi', 'PERSON')]"
"Buchmann, George",PERSON,"[('Buchmann', 'PERSON'), ('George', 'PERSON')]"
"Rausch, Jim",PERSON,"[('Rausch', 'PERSON'), ('Jim', 'PERSON')]"
"Schweitzer, Brian",PERSON,"[('Schweitzer', 'PERSON'), ('Brian', 'PERSON')]"
"Quinn, Robert E. (Bob)",PERSON,"[('Quinn', 'GPE'), ('Robert E. (', 'PERSON'), ('Bob', 'PERSON')]"
"McMullen, Jack",PERSON,"[('Jack', 'PERSON')]"
"Dunbar, Forrest",PERSON,"[('Dunbar', 'GPE'), ('Forrest', 'PERSON')]"
"Paxon, William L. (Bill)",PERSON,"[('Paxon', 'ORG'), ('William L.', 'PERSON'), ('Bill', 'PERSON')]"
"Neal, Stephen Lybrook (Steve)",PERSON,"[('Stephen Lybrook', 'PERSON'), ('Steve', 'PERSON')]"
"Sharpless, John",PERSON,"[('John', 'PERSON')]"
"McCormack, Edward J., III (Ed)",PERSON,"[('Edward J., III', 'PERSON'), ('Ed', 'PERSON')]"
"Herseth, Stephanie",PERSON,"[('Herseth', 'GPE'), ('Stephanie', 'ORG')]"
"Crowder, Barb",PERSON,"[('Crowder', 'ORG'), ('Barb', 'PERSON')]"
"Schwartzer, Gerri",PERSON,"[('Gerri', 'PERSON')]"
"Carey, John",PERSON,"[('Carey', 'PERSON'), ('John', 'PERSON')]"
Arkansas Republican Party,ORG,"[('Arkansas Republican Party', 'ORG')]"
"Hopkins, Stephen",PERSON,"[('Stephen', 'GPE')]"
"LaTourette, Steven C. (Steve)",PERSON,"[('LaTourette', 'PERSON'), ('Steven C.', 'PERSON'), ('Steve', 'PERSON')]"
Utah,GPE,"[('Utah', 'GPE')]"
"Vallen, Ed",PERSON,"[('Vallen', 'PERSON'), ('Ed', 'PERSON')]"
"Wicker, Roger Frederick",PERSON,"[('Roger Frederick', 'PERSON')]"
Democratic Party of South Carolina,ORG,"[('Democratic Party of South Carolina', 'ORG')]"
"Townsend, Sharon",PERSON,"[('Sharon', 'PERSON')]"
"Levin, Murray",PERSON,"[('Levin, Murray', 'PERSON')]"
"Vogt, Linda",PERSON,"[('Linda', 'PERSON')]"
"Kindness, Thomas Norman (Tom)",PERSON,"[('Kindness', 'PERSON'), ('Thomas Norman', 'PERSON'), ('Tom', 'PERSON')]"
"Tarkanian, Danny (Tark)",PERSON,"[('Tarkanian', 'PERSON'), ('Danny (Tark', 'PERSON')]"
"Kripke, Dan",PERSON,"[('Dan', 'PERSON')]"
"Parker, Vernon",PERSON,"[('Parker', 'ORG'), ('Vernon', 'ORG')]"
"Garn, Kevin",PERSON,"[('Kevin', 'PERSON')]"
"Bartlett, Dewey Follett",PERSON,"[('Bartlett', 'PERSON'), ('Dewey Follett', 'PERSON')]"
Jack Lugar for Congress,ORG,"[('Jack Lugar', 'PERSON'), ('Congress', 'ORG')]"
"Morales, Victor",PERSON,"[('Victor', 'PERSON')]"
"Chapin, Linda",PERSON,"[('Chapin', 'GPE'), ('Linda', 'PERSON')]"
"Hayworth, John David, Jr. (J.D.)",PERSON,"[('Hayworth', 'PERSON'), ('John David', 'PERSON'), ('Jr.', 'PERSON'), ('J.D.', 'GPE')]"
"Marks, Patricia",PERSON,"[('Marks', 'ORG'), ('Patricia', 'PERSON')]"
"Perry, Scott",PERSON,"[('Scott', 'PERSON')]"
"Quayle, Ben",PERSON,"[('Quayle', 'PERSON'), ('Ben', 'PERSON')]"
"Mrazek, Robert J.",PERSON,"[('Mrazek', 'PERSON'), ('Robert J.', 'PERSON')]"
"Malone, Joseph D. (Joe)",PERSON,"[('Joseph D. (', 'PERSON'), ('Joe', 'PERSON')]"
"D'Annunzio, Tim",PERSON,"[(""D'Annunzio"", 'ORG'), ('Tim', 'PERSON')]"
Cheney for Wyoming,ORG,"[('Cheney', 'PERSON'), ('Wyoming', 'GPE')]"
"Pendell, George",PERSON,"[('Pendell', 'ORG'), ('George', 'PERSON')]"
"McManus, Don",PERSON,"[('McManus', 'PERSON'), ('Don', 'PERSON')]"
"Dayton, Mark",PERSON,"[('Dayton', 'ORG'), ('Mark', 'PERSON')]"
Friends of Steven Welch,ORG,"[('Steven Welch', 'PERSON')]"
"McFarland, J. Ruth",PERSON,"[('McFarland', 'GPE'), ('J. Ruth', 'PERSON')]"
"Moffett, Anthony John, Jr. (Toby)",PERSON,"[('Moffett', 'PERSON'), ('Anthony John', 'PERSON'), ('Jr.', 'PERSON')]"
"Marcum, Fran",PERSON,[]
"Diedrich, Larry",PERSON,"[('Larry', 'PERSON')]"
"Wanggaard, Van",PERSON,"[('Wanggaard', 'ORG'), ('Van', 'PERSON')]"
"Christian, Alvin",PERSON,"[('Christian', 'NORP')]"
"Litton, Jerry Lon",PERSON,"[('Litton', 'GPE'), ('Jerry Lon', 'PERSON')]"
"Cooper, John Sherman",PERSON,"[('Cooper', 'PERSON'), ('John Sherman', 'PERSON')]"
"Bruggere, Tom",PERSON,"[('Tom', 'PERSON')]"
"Sandoval, Delores",PERSON,"[('Delores', 'GPE')]"
"Crawford, Harry",PERSON,"[('Crawford', 'ORG'), ('Harry', 'PERSON')]"
"Hancock, James B.",PERSON,"[('James B.', 'PERSON')]"
"Hart, Philip Aloysius",PERSON,"[('Hart', 'ORG'), ('Philip Aloysius', 'PERSON')]"
"Norton, Eleanor Holmes",PERSON,"[('Norton', 'ORG'), ('Eleanor Holmes', 'PERSON')]"
"Crawford, Rick",PERSON,"[('Crawford', 'ORG'), ('Rick', 'PERSON')]"
"Butler, Carl",PERSON,"[('Butler', 'ORG'), ('Carl', 'PERSON')]"
"Lawless, Jennifer L.",PERSON,"[('Jennifer L.', 'PERSON')]"
"Kelley, Frank Joseph",PERSON,"[('Kelley', 'PERSON'), ('Frank Joseph', 'PERSON')]"
"Gibson, Christopher P. (Chris)",PERSON,"[('Gibson', 'PERSON'), ('Christopher P.', 'PERSON'), ('Chris', 'PERSON')]"
"Gibbons, Sam Melville",PERSON,"[('Sam Melville', 'PERSON')]"
"Kuster, Ann McLane",PERSON,"[('Kuster', 'PERSON'), ('Ann McLane', 'PERSON')]"
"Griffith, Morgan",PERSON,"[('Morgan', 'PERSON')]"
"Orloski, Richard (Rick)",PERSON,"[('Orloski', 'ORG'), ('Richard', 'PERSON'), ('Rick', 'PERSON')]"
"Fitzpatrick, Thomas M.",PERSON,"[('Fitzpatrick', 'PERSON'), ('Thomas M.', 'PERSON')]"
"Williams, Roger",PERSON,"[('Williams', 'PERSON'), ('Roger', 'PERSON')]"
"Pollard, Tommy",PERSON,"[('Tommy', 'GPE')]"
"Smith, Albert Lee, Jr.",PERSON,"[('Smith', 'GPE'), ('Albert Lee, Jr.', 'PERSON')]"
"Lucus, Frank",PERSON,"[('Lucus, Frank', 'ORG')]"
"Wecht, Cyril H.",PERSON,"[('Wecht', 'ORG'), ('Cyril H.', 'PERSON')]"
"Baldacci, John Elias",PERSON,"[('John Elias', 'PERSON')]"
"Aaron, Ann Marie",PERSON,"[('Aaron', 'PERSON'), ('Ann Marie', 'PERSON')]"
"Weicker, Lowell Palmer, Jr.",PERSON,"[('Lowell Palmer', 'PERSON')]"
"Manian, Victor",PERSON,"[('Manian', 'NORP'), ('Victor', 'PERSON')]"
"McClure, James Albertus (Jim)",PERSON,"[('James Albertus', 'PERSON'), ('Jim', 'PERSON')]"
"Long, Glynn",PERSON,"[('Glynn', 'GPE')]"
"Friend Jr., Kelsey",PERSON,"[('Friend Jr.', 'ORG'), ('Kelsey', 'GPE')]"
"Hanabusa, Colleen",PERSON,"[('Colleen', 'PERSON')]"
"Yarbrough, Steve",PERSON,"[('Yarbrough', 'GPE'), ('Steve', 'PERSON')]"
Freedom's Watch,ORG,[]
Texas Victory 2002,ORG,"[('Texas', 'GPE'), ('2002', 'DATE')]"
"VanderLaan, Robert",PERSON,"[('VanderLaan', 'ORG'), ('Robert', 'PERSON')]"
"Waldman, Ben",PERSON,"[('Waldman', 'ORG'), ('Ben', 'PERSON')]"
"Staggers, Harley",PERSON,"[('Harley', 'ORG')]"
Case for Hawaii,ORG,"[('Hawaii', 'GPE')]"
"Spanel, Harriet",PERSON,[]
"Bagnal, Anne Broyles",PERSON,"[('Anne Broyles', 'PERSON')]"
"Bailey, Brad",PERSON,"[('Bailey', 'GPE'), ('Brad', 'PERSON')]"
"Sherck, James R.",PERSON,"[('Sherck', 'ORG'), ('James R.', 'PERSON')]"
"Andrews, Thomas H.",PERSON,"[('Thomas H.', 'PERSON')]"
"Walson, Jeff",PERSON,"[('Jeff', 'PERSON')]"
